Player,Pos,Age,Tm,G,GS,MP,FG,FGA
Tyler Johnson,PG,26,TOT,57,22,26.8,3.8,9.2
Tyler Johnson,PG,26,MIA,44,10,25.5,3.9,9.1
Tyler Johnson,PG,26,PHO,13,12,31.2,3.5,9.6
Wesley Johnson,SF,31,TOT,38,13,14.1,1.2,3.4
Wesley Johnson,SF,31,NOP,26,13,14.5,1.3,3.4
Wesley Johnson,SF,31,WAS,12,0,13.1,0.8,3.3
Nikola Jokić,C,23,DEN,80,80,31.3,7.7,15.1
Damian Jones,C,23,GSW,24,22,17.1,2.2,3.1
Derrick Jones Jr.,SF,21,MIA,60,14,19.2,2.7,5.4
Jalen Jones,SF,25,CLE,16,0,13.4,1.6,3.9
Jemerrio Jones,SF,23,LAL,6,2,23.8,2.0,5.5
Terrence Jones,PF,27,HOU,2,0,2.5,0.5,2.0
Tyus Jones,PG,22,MIN,68,23,22.9,2.7,6.6
DeAndre Jordan,C,30,TOT,69,69,29.7,4.1,6.5
DeAndre Jordan,C,30,DAL,50,50,31.1,4.2,6.5
DeAndre Jordan,C,30,NYK,19,19,25.9,4.1,6.5
Cory Joseph,PG,27,IND,82,9,25.2,2.8,6.7
Frank Kaminsky,C,25,CHO,47,0,16.1,2.9,6.3
Luke Kennard,SG,22,DET,63,10,22.8,3.6,8.3
Michael Kidd-Gilchrist,PF,25,CHO,64,3,18.4,2.5,5.2
George King,SF,25,PHO,1,0,6.0,0.0,0.0
Maxi Kleber,PF,27,DAL,71,18,21.2,2.5,5.4
Brandon Knight,PG,27,TOT,39,26,18.9,2.5,6.7
Brandon Knight,PG,27,HOU,12,0,9.8,0.9,3.9
Brandon Knight,PG,27,CLE,27,26,22.9,3.3,7.9
Kevin Knox,PF,19,NYK,75,57,28.8,4.5,12.2
Furkan Korkmaz,SG,21,PHI,48,7,14.1,2.0,5.1
Luke Kornet,PF,23,NYK,46,18,17.0,2.3,6.2
Kyle Korver,PF,37,CLE,16,0,15.7,2.2,4.8
Kyle Korver,SG,37,UTA,54,0,20.1,3.1,7.5
Kosta Koufos,C,29,SAC,42,1,12.0,1.7,3.6
Rodions Kurucs,SF,20,BRK,63,46,20.5,3.2,7.1
Kyle Kuzma,PF,23,LAL,70,68,33.1,7.1,15.5
Skal Labissière,PF,22,TOT,22,1,8.0,1.2,2.2
Skal Labissière,PF,22,SAC,13,0,8.7,1.0,2.3
Skal Labissière,PF,22,POR,9,1,7.0,1.4,2.1
Jeremy Lamb,SG,26,CHO,79,55,28.5,5.5,12.4
Zach LaVine,SG,23,CHI,63,62,34.5,8.4,18.0
Jake Layman,SF,24,POR,71,33,18.7,3.0,6.0
T.J. Leaf,PF,21,IND,58,1,9.0,1.7,3.2
Courtney Lee,SG,33,TOT,34,6,12.6,1.6,3.8
Courtney Lee,SG,33,NYK,12,2,13.3,1.8,3.9
Courtney Lee,SG,33,DAL,22,4,12.2,1.5,3.7
Damion Lee,SG,26,GSW,32,0,11.7,1.8,4.0
Walt Lemon Jr.,PG,26,CHI,6,3,27.8,6.3,14.5
Alex Len,C,25,ATL,77,31,20.1,4.2,8.4
Kawhi Leonard,SF,27,TOR,60,60,34.0,9.3,18.8
Meyers Leonard,C,26,POR,61,2,14.4,2.2,4.0
Jon Leuer,PF,29,DET,41,1,9.8,1.6,2.8
Caris LeVert,SF,24,BRK,40,25,26.6,5.2,12.1
Damian Lillard,PG,28,POR,80,80,35.5,8.5,19.2
Jeremy Lin,PG,30,TOT,74,4,19.4,3.2,7.3
Jeremy Lin,PG,30,ATL,51,1,19.7,3.5,7.6
Jeremy Lin,PG,30,TOR,23,3,18.8,2.5,6.7
Shaun Livingston,PG,33,GSW,64,0,15.1,1.7,3.3
Zach Lofton,SG,26,DET,1,0,4.0,0.0,1.0
Kevon Looney,C,22,GSW,80,24,18.5,2.7,4.3
Brook Lopez,C,30,MIL,81,81,28.7,4.4,9.7
Robin Lopez,C,30,CHI,74,36,21.7,4.1,7.2
Kevin Love,PF,30,CLE,22,21,27.2,5.0,12.9
Kyle Lowry,PG,32,TOR,65,65,34.0,4.7,11.4
Jordan Loyd,PG,25,TOR,12,0,4.6,0.7,1.5
Kalin Lucas,PG,29,DET,1,0,6.0,0.0,1.0
Timothé Luwawu-Cabarrot,SF,23,TOT,50,7,13.4,1.6,4.4
Timothé Luwawu-Cabarrot,SF,23,OKC,21,1,5.9,0.6,2.0
Timothé Luwawu-Cabarrot,SF,23,CHI,29,6,18.8,2.4,6.0
Tyler Lydon,PF,22,DEN,25,0,3.8,0.4,0.7
Trey Lyles,PF,23,DEN,64,2,17.5,3.2,7.7
Scott Machado,PG,28,LAL,4,0,4.8,1.0,1.5
Shelvin Mack,PG,28,TOT,57,3,21.9,2.9,7.1
Shelvin Mack,PG,28,MEM,53,3,22.7,3.0,7.3
Shelvin Mack,PG,28,CHO,4,0,10.5,0.5,3.5
Daryl Macon,SG,23,DAL,8,0,11.3,1.3,3.4
J.P. Macura,SG,23,CHO,2,0,8.5,1.5,4.5
Ian Mahinmi,C,32,WAS,34,6,14.6,1.4,3.1
Thon Maker,C,21,MIL,35,0,11.7,1.7,3.8
Thon Maker,PF,21,DET,29,5,19.4,1.7,4.6
Boban Marjanović,C,30,TOT,58,12,11.7,2.8,4.5
Boban Marjanović,C,30,PHI,22,3,13.9,3.4,5.5
Lauri Markkanen,PF,21,CHI,52,51,32.3,6.6,15.3
Jarell Martin,PF,24,ORL,42,1,7.8,1.0,2.5
Frank Mason III,PG,24,SAC,38,0,11.4,1.9,4.4
Yante Maten,PF,22,MIA,2,0,6.5,0.5,2.0
Wesley Matthews,SF,32,DAL,44,44,29.8,4.4,10.7
Wesley Matthews,SG,32,NYK,2,1,27.0,2.0,9.5
Wesley Matthews,SG,32,IND,23,23,31.5,3.5,9.1
Tahjere McCall,SG,24,BRK,1,0,8.0,2.0,3.0
Patrick McCaw,SG,23,TOT,29,1,13.7,0.9,2.2
Patrick McCaw,SG,23,CLE,3,0,17.7,0.7,3.0
Patrick McCaw,SG,23,TOR,26,1,13.2,0.9,2.1
CJ McCollum,SG,27,POR,70,70,33.9,8.2,17.8
T.J. McConnell,PG,26,PHI,76,3,19.3,2.9,5.5
Doug McDermott,SF,27,IND,77,1,17.4,2.7,5.5
JaVale McGee,C,31,LAL,75,62,22.3,5.3,8.5
Rodney McGruder,SG,27,MIA,66,45,23.5,2.8,7.0
Alfonzo McKinnie,SF,26,GSW,72,5,13.9,1.9,3.8
Ben McLemore,SG,25,SAC,19,0,8.3,1.3,3.4
Jordan McRae,SG,27,WAS,27,0,12.3,2.3,4.8
Jodie Meeks,SG,31,TOR,8,0,13.0,2.6,4.9
Salah Mejri,C,32,DAL,36,4,11.1,1.5,3.1
De'Anthony Melton,PG,20,PHO,50,31,19.7,2.0,5.1
Chimezie Metu,PF,21,SAS,29,0,5.0,0.7,2.0
Khris Middleton,SF,27,MIL,77,77,31.1,6.6,14.9
C.J. Miles,SF,31,TOT,53,1,16.2,2.1,5.9
C.J. Miles,SF,31,TOR,40,1,14.1,1.8,5.2
C.J. Miles,SF,31,MEM,13,0,22.6,3.2,8.1
Darius Miller,SF,28,NOP,69,15,25.5,2.7,7.0
Malcolm Miller,SF,25,TOR,10,0,6.7,1.1,2.6
Patty Mills,PG,30,SAS,82,1,23.3,3.4,8.1
Paul Millsap,PF,33,DEN,70,65,27.1,4.6,9.5
Shake Milton,SG,22,PHI,20,0,13.4,1.7,4.4
Nikola Mirotić,PF,27,TOT,46,25,27.1,5.2,11.8
Nikola Mirotić,PF,27,NOP,32,22,28.9,5.7,12.7
Nikola Mirotić,PF,27,MIL,14,3,22.9,4.0,9.6
Donovan Mitchell,SG,22,UTA,77,77,33.7,8.6,19.9
Naz Mitrou-Long,SG,25,UTA,14,0,6.0,0.4,1.4
Malik Monk,SG,20,CHO,73,0,17.2,3.1,8.0
Greg Monroe,C,28,TOT,43,2,11.2,2.1,4.4
Greg Monroe,C,28,TOR,38,2,11.1,1.9,4.2
Greg Monroe,C,28,BOS,2,0,2.5,1.5,2.5
Greg Monroe,C,28,PHI,3,0,17.3,5.0,7.7
E'Twaun Moore,SG,29,NOP,53,36,27.6,4.8,10.0
Eric Moreland,PF,27,TOT,5,0,8.6,0.6,1.4
Eric Moreland,PF,27,PHO,1,0,5.0,0.0,0.0
Eric Moreland,PF,27,TOR,4,0,9.5,0.8,1.8
Jaylen Morris,SG,23,MIL,4,0,7.3,1.0,2.5
Marcus Morris,PF,29,BOS,75,53,27.9,5.0,11.3
Markieff Morris,PF,29,TOT,58,16,21.9,3.5,8.3
Markieff Morris,PF,29,WAS,34,15,26.0,4.2,9.6
Markieff Morris,PF,29,OKC,24,1,16.1,2.5,6.5
Monte Morris,PG,23,DEN,82,6,24.0,4.2,8.6
Donatas Motiejūnas,PF,28,SAS,3,0,4.3,1.0,2.0
Emmanuel Mudiay,PG,22,NYK,59,42,27.2,5.6,12.5
Jamal Murray,PG,21,DEN,75,74,32.6,6.8,15.6
Džanan Musa,SG,19,BRK,9,0,4.3,1.0,2.4
Mike Muscala,PF,27,TOT,64,10,20.4,2.3,5.6
Mike Muscala,PF,27,PHI,47,6,22.1,2.3,5.9
Mike Muscala,PF,27,LAL,17,4,15.6,2.1,4.9
Svi Mykhailiuk,SF,21,TOT,42,0,10.5,1.1,3.3
Svi Mykhailiuk,SF,21,LAL,39,0,10.8,1.1,3.4
Svi Mykhailiuk,SF,21,DET,3,0,6.7,0.7,2.7
Abdel Nader,SF,25,OKC,61,1,11.4,1.5,3.5
Larry Nance Jr.,C,26,CLE,67,30,26.8,3.7,7.1
Shabazz Napier,PG,27,BRK,56,2,17.6,3.0,7.8
Raul Neto,PG,26,UTA,37,1,12.8,2.0,4.4
Georges Niang,PF,25,UTA,59,0,8.7,1.5,3.1
Joakim Noah,C,33,MEM,42,1,16.5,2.6,5.1
Nerlens Noel,C,24,OKC,77,2,13.7,2.1,3.6
Dirk Nowitzki,PF,40,DAL,51,20,15.6,2.6,7.4
Frank Ntilikina,PG,20,NYK,43,16,21.0,2.2,6.6
James Nunnally,SF,28,TOT,15,0,6.8,0.8,2.3
James Nunnally,SF,28,MIN,13,0,4.9,0.7,1.6
James Nunnally,SF,28,HOU,2,0,19.0,1.5,6.5
Jusuf Nurkić,C,24,POR,72,72,27.4,5.8,11.5
David Nwaba,SF,26,CLE,51,14,19.3,2.5,5.1
Royce O'Neale,SF,25,UTA,82,16,20.4,2.0,4.2
Kyle O'Quinn,C,28,IND,45,3,8.2,1.5,3.0
Semi Ojeleye,PF,24,BOS,56,3,10.6,1.2,2.8
Jahlil Okafor,C,23,NOP,59,24,15.8,3.6,6.1
Elie Okobo,PG,21,PHO,53,16,18.1,2.2,5.5
Josh Okogie,SG,20,MIN,74,52,23.7,2.6,6.9
Victor Oladipo,SG,26,IND,36,36,31.9,6.9,16.3
Kelly Olynyk,PF,27,MIA,79,36,22.9,3.3,7.1
Cedi Osman,SF,23,CLE,76,75,32.2,4.7,11.1
Kelly Oubre Jr.,SF,23,TOT,69,19,28.0,5.4,12.2
Kelly Oubre Jr.,SF,23,WAS,29,7,26.0,4.6,10.5
Kelly Oubre Jr.,SF,23,PHO,40,12,29.5,6.1,13.4
Zaza Pachulia,C,34,DET,68,3,12.9,1.3,2.8
Jabari Parker,PF,23,TOT,64,17,26.9,5.8,11.7
Jabari Parker,PF,23,CHI,39,17,26.7,5.6,11.9
Jabari Parker,PF,23,WAS,25,0,27.3,6.0,11.4
Tony Parker,PG,36,CHO,56,0,17.9,3.8,8.3
Chandler Parsons,SF,30,MEM,25,3,19.8,2.7,7.3
Patrick Patterson,PF,29,OKC,63,5,13.7,1.3,3.5
Justin Patton,C,21,PHI,3,0,7.0,0.7,2.3
Chris Paul,PG,33,HOU,58,58,32.0,5.2,12.4
Cameron Payne,PG,24,TOT,40,13,17.8,2.4,5.6
Cameron Payne,PG,24,CHI,31,12,17.3,2.2,5.4
Cameron Payne,PG,24,CLE,9,1,19.6,3.0,6.1
Elfrid Payton,PG,24,NOP,42,42,29.8,4.3,9.8
Gary Payton II,PG,26,WAS,3,0,5.3,1.7,2.7
Theo Pinson,SG,23,BRK,18,0,11.7,1.4,4.1
Mason Plumlee,C,28,DEN,82,17,21.1,3.2,5.4
Miles Plumlee,C,30,ATL,18,0,9.6,1.8,2.7
Jakob Poeltl,C,23,SAS,77,24,16.5,2.4,3.8
Quincy Pondexter,SF,30,SAS,53,0,5.5,0.5,1.1
Otto Porter Jr.,SF,25,TOT,56,43,30.1,5.3,11.5
Otto Porter Jr.,SF,25,WAS,41,28,29.0,4.9,10.8
Otto Porter Jr.,SF,25,CHI,15,15,32.8,6.5,13.4
Bobby Portis,PF,23,TOT,50,28,26.0,5.6,12.6
Bobby Portis,PF,23,CHI,22,6,24.1,5.5,12.3
Bobby Portis,PF,23,WAS,28,22,27.4,5.6,12.8
Dwight Powell,C,27,DAL,77,22,21.6,3.8,6.3
Norman Powell,SG,25,TOR,60,3,18.8,3.2,6.7
Alex Poythress,PF,25,ATL,21,1,14.5,1.9,3.9
Taurean Prince,SF,24,ATL,55,47,28.2,4.8,10.8
Zhou Qi,PF,23,HOU,1,0,1.0,1.0,1.0
Ivan Rabb,PF,21,MEM,49,13,14.7,2.4,4.3
Chasson Randle,PG,25,WAS,49,2,15.2,1.9,4.4
Julius Randle,PF,24,NOP,73,49,30.6,7.8,14.9
J.J. Redick,SG,34,PHI,76,63,31.3,5.9,13.5
Davon Reed,SG,23,IND,10,0,4.7,0.5,1.2
Cameron Reynolds,SG,23,MIN,19,0,13.6,1.7,4.1
Josh Richardson,SG,25,MIA,73,73,34.8,5.8,14.1
Malachi Richardson,SG,23,TOR,22,0,4.7,0.4,1.3
Austin Rivers,SG,26,TOT,76,15,26.7,3.1,7.5
Austin Rivers,SG,26,WAS,29,2,23.6,2.6,6.7
Austin Rivers,SG,26,HOU,47,13,28.6,3.3,8.0
Devin Robinson,SF,23,WAS,7,0,13.6,2.7,4.6
Duncan Robinson,SF,24,MIA,15,1,10.7,1.2,3.1
Glenn Robinson III,SF,25,DET,47,18,13.0,1.6,3.7
Mitchell Robinson,C,20,NYK,66,19,20.6,3.1,4.4
Rajon Rondo,PG,32,LAL,46,29,29.8,3.8,9.4
Derrick Rose,PG,30,MIN,51,13,27.3,7.1,14.8
Terrence Ross,SG,27,ORL,81,0,26.5,5.4,12.7
Terry Rozier,PG,24,BOS,79,14,22.7,3.3,8.4
Ricky Rubio,PG,28,UTA,68,67,27.9,4.3,10.7
D'Angelo Russell,PG,22,BRK,81,81,30.2,8.1,18.7
Domantas Sabonis,C,22,IND,74,5,24.8,5.6,9.5
Brandon Sampson,SG,21,CHI,14,2,15.3,2.0,4.3
JaKarr Sampson,SF,25,CHI,4,0,31.8,7.3,13.5
Dario Šarić,PF,24,TOT,81,41,25.0,3.8,8.6
Dario Šarić,PF,24,PHI,13,13,30.5,3.7,10.2
Dario Šarić,PF,24,MIN,68,28,23.9,3.8,8.3
Tomáš Satoranský,PG,27,WAS,80,54,27.1,3.2,6.6
Dennis Schröder,PG,25,OKC,79,14,29.3,5.8,14.0
Mike Scott,PF,30,TOT,79,3,17.7,2.1,5.3
Mike Scott,PF,30,PHI,27,3,24.0,2.8,7.0
Thabo Sefolosha,SF,34,UTA,50,2,12.2,1.4,3.0
Wayne Selden,SG,24,TOT,75,13,19.2,2.6,6.4
Wayne Selden,SG,24,MEM,32,0,14.2,2.0,5.0
Wayne Selden,SG,24,CHI,43,13,22.9,3.0,7.5
Collin Sexton,PG,20,CLE,82,72,31.8,6.3,14.7
Landry Shamet,SG,21,TOT,79,27,22.8,3.0,7.1
Landry Shamet,SG,21,PHI,54,4,20.5,2.8,6.4
Iman Shumpert,SG,28,TOT,62,41,23.9,2.7,7.2
Iman Shumpert,SG,28,SAC,42,40,26.2,3.2,8.3
Iman Shumpert,SG,28,HOU,20,1,19.1,1.7,4.9
Pascal Siakam,PF,24,TOR,80,79,31.9,6.5,11.8
Jordan Sibert,SG,26,ATL,1,0,4.0,1.0,1.0
Ben Simmons,PG,22,PHI,79,79,34.2,6.8,12.2
Jonathon Simmons,SG,29,ORL,41,9,20.6,2.5,7.0
Jonathon Simmons,SF,29,PHI,15,0,14.6,1.9,4.3
Kobi Simmons,PG,21,CLE,1,0,2.0,0.0,0.0
Anfernee Simons,SG,19,POR,20,1,7.1,1.4,3.2
Marcus Smart,SG,24,BOS,80,60,27.5,3.0,7.1
Dennis Smith Jr.,PG,21,TOT,53,50,28.5,5.2,12.3
Dennis Smith Jr.,PG,21,DAL,32,32,28.4,4.9,11.2
Dennis Smith Jr.,PG,21,NYK,21,18,28.6,5.8,14.0
Ish Smith,PG,30,DET,56,0,22.3,3.7,8.7
J.R. Smith,SG,33,CLE,11,4,20.2,2.5,7.2
Jason Smith,C,32,WAS,12,1,10.8,1.3,3.1
Jason Smith,PF,32,MIL,6,0,6.7,0.7,2.2
Jason Smith,C,32,NOP,2,0,10.0,1.0,4.5
Zhaire Smith,SG,19,PHI,6,2,18.5,2.3,5.7
Tony Snell,SF,27,MIL,74,12,17.6,2.2,4.9
Ray Spalding,PF,21,TOT,14,3,10.6,1.8,3.4
Ray Spalding,PF,21,DAL,1,0,1.0,0.0,0.0
Ray Spalding,PF,21,PHO,13,3,11.3,1.9,3.6
Omari Spellman,PF,21,ATL,46,11,17.5,2.1,5.3
Nik Stauskas,SG,25,TOT,68,0,14.9,2.0,5.0
Nik Stauskas,SG,25,POR,44,0,15.3,2.2,5.2
Nik Stauskas,SG,25,CLE,24,0,14.3,1.7,4.5
D.J. Stephens,SG,28,MEM,1,0,7.0,1.0,2.0
Lance Stephenson,SG,28,LAL,68,3,16.5,2.7,6.4
Edmond Sumner,PG,23,IND,23,2,9.1,1.0,2.8
Caleb Swanigan,PF,21,TOT,21,0,8.5,0.9,2.5
Caleb Swanigan,PF,21,POR,18,0,8.1,0.8,2.4
Caleb Swanigan,PF,21,SAC,3,0,11.0,1.3,3.0
Jayson Tatum,SF,20,BOS,79,79,31.1,5.9,13.1
Jeff Teague,PG,30,MIN,42,41,30.1,4.2,9.9
Garrett Temple,SG,32,TOT,75,55,27.2,2.8,6.6
Garrett Temple,SG,32,MEM,49,49,31.2,3.4,7.9
Jared Terrell,SG,23,MIN,14,0,7.9,0.9,2.8
Emanuel Terry,PF,22,TOT,3,0,7.7,1.3,2.3
Emanuel Terry,PF,22,PHO,2,0,10.0,2.0,3.0
Emanuel Terry,PF,22,MIA,1,0,3.0,0.0,1.0
Daniel Theis,C,26,BOS,66,2,13.8,2.2,4.0
Isaiah Thomas,SG,29,DEN,12,0,15.1,2.8,8.3
Khyri Thomas,SG,22,DET,26,0,7.5,0.8,2.7
Lance Thomas,PF,30,NYK,46,17,17.0,1.7,4.3
Klay Thompson,SG,28,GSW,78,78,34.0,8.4,18.0
Tristan Thompson,C,27,CLE,43,40,27.9,4.7,8.8
Anthony Tolliver,PF,33,MIN,65,0,16.6,1.5,4.0
Karl-Anthony Towns,C,23,MIN,77,77,33.1,8.8,17.1
Gary Trent Jr.,SG,20,POR,15,1,7.4,1.1,3.3
Allonzo Trier,SG,23,NYK,64,3,22.8,3.6,8.1
P.J. Tucker,PF,33,HOU,82,82,34.2,2.5,6.4
Evan Turner,PG,30,POR,73,2,22.0,2.8,6.1
Myles Turner,C,22,IND,74,74,28.6,5.1,10.5
Ekpe Udoh,C,31,UTA,51,1,6.3,1.0,1.4
Tyler Ulis,PG,23,CHI,1,0,1.0,0.0,0.0
Jonas Valančiūnas,C,26,TOT,49,27,22.3,6.1,11.0
Jonas Valančiūnas,C,26,TOR,30,10,18.8,5.0,8.6
Jonas Valančiūnas,C,26,MEM,19,17,27.7,8.0,14.7
Jarred Vanderbilt,PF,19,DEN,17,0,4.1,0.5,1.1
Fred VanVleet,PG,24,TOR,64,28,27.5,3.8,9.4
Noah Vonleh,PF,23,NYK,68,57,25.3,3.0,6.5
Nikola Vučević,C,28,ORL,80,80,31.4,8.8,16.9
Dwyane Wade,SG,37,MIA,72,2,26.2,5.8,13.3
Moritz Wagner,C,21,LAL,43,5,10.4,1.7,4.0
Dion Waiters,SG,27,MIA,44,28,25.9,4.5,10.9
Kemba Walker,PG,28,CHO,82,82,34.9,8.9,20.5
Lonnie Walker IV,SG,20,SAS,17,0,6.9,0.9,2.7
John Wall,PG,28,WAS,32,32,34.5,7.7,17.3
Brad Wanamaker,PG,29,BOS,36,0,9.5,1.4,2.9
T.J. Warren,SF,25,PHO,43,36,31.6,6.9,14.2
Julian Washburn,SF,27,MEM,18,3,14.1,0.9,2.7
Yuta Watanabe,SF,24,MEM,15,0,11.6,1.0,3.4
Thomas Welsh,C,22,DEN,11,0,3.3,0.6,1.2
Russell Westbrook,PG,30,OKC,73,73,36.0,8.6,20.2
Derrick White,PG,24,SAS,67,55,25.8,3.9,8.1
Okaro White,PF,26,WAS,3,0,2.0,0.0,0.7
Hassan Whiteside,C,29,MIA,72,53,23.3,5.4,9.4
Andrew Wiggins,SF,23,MIN,73,73,34.8,6.8,16.6
Alan Williams,PF,26,BRK,5,0,5.2,1.6,2.6
C.J. Williams,SG,28,MIN,15,0,8.5,1.1,2.3
Johnathan Williams,C,23,LAL,24,0,15.5,2.7,4.6
Kenrich Williams,SF,24,NOP,46,29,23.5,2.3,6.1
Marvin Williams,PF,32,CHO,75,75,28.4,3.7,8.7
Robert Williams,C,21,BOS,32,2,8.8,1.1,1.6
Troy Williams,SF,24,SAC,21,0,14.9,2.1,4.7
D.J. Wilson,PF,22,MIL,48,3,18.4,2.2,5.2
Justise Winslow,SF,22,MIA,66,52,29.7,4.9,11.3
Christian Wood,PF,23,TOT,21,2,12.0,2.9,5.6
Christian Wood,PF,23,MIL,13,0,4.8,0.9,1.9
Christian Wood,PF,23,NOP,8,2,23.6,6.1,11.5
Delon Wright,PG,26,TOT,75,13,22.7,3.2,7.4
Delon Wright,PG,26,TOR,49,2,18.3,2.6,6.0
Delon Wright,PG,26,MEM,26,11,30.8,4.4,10.2
Guerschon Yabusele,PF,23,BOS,41,1,6.1,0.9,1.9
Nick Young,SG,33,DEN,4,0,9.3,0.8,2.3
Thaddeus Young,PF,30,IND,81,81,30.7,5.5,10.4
Trae Young,PG,20,ATL,81,81,30.9,6.5,15.5
Cody Zeller,C,26,CHO,49,47,25.4,3.9,7.0
Tyler Zeller,C,29,TOT,6,1,15.5,2.7,5.0
Tyler Zeller,C,29,ATL,2,0,5.5,0.0,1.0
Tyler Zeller,C,29,MEM,4,1,20.5,4.0,7.0
Ante Žižić,C,22,CLE,59,25,18.3,3.1,5.6
Ivica Zubac,C,21,TOT,59,37,17.6,3.6,6.4
Ivica Zubac,C,21,LAL,33,12,15.6,3.4,5.8
